Inflect òbchòdzony | V;PPART;PASS;MPL	òbchòdzoné
Inflect Mekran | N;ACC(SG)	Mekran
Inflect Odzyskac | V;PPP;MP;GEN	Odzyskanych
Inflect gadzëna | N;NOM(FEM,PL)	gadzënë
Inflect gadzëna | N;GEN(PL)	gadzënòw
Inflect Kòscół | N;GEN(SG)	Kòscele
Inflect Kòscół | N;GEN(SG)	Kòscoła
Inflect ùgòda | N;LOC;SG;FEM	ùgòdné
Inflect miłac | V;PST;SG;F	miôła
Inflect wchòdzëc | V;INF	wchòdzëc
Inflect òstrowa | N;ACC(FEM,SG)	òstrowã
Inflect òstrowa | N;NOM(PL)	òstrowë
Inflect òstrowa | N;GEN(PL)	òstrowów
Inflect Szkocja | N;DAT(SG)	Szkocji
Inflect Oddział | N;NOM(SG)	Oddział
Inflect anielsczi | ADJ;NOM(MASC,SG)	angelsczi
Inflect Kamiéńca | N;GEN(FEM,SG)	Kamiéńca
Inflect dogłãbnô | ADJ;NOM(FEM,SG)	dogłãbno
Inflect ògle | N;NOM(PL)	ògle
Inflect mórza | N;GEN(SG)	mórza
Inflect ramic | N;GEN(FEM,SG)	ramë
Inflect Blat | N;NOM(MASC,SG)	Blat
Inflect pôłni | N;LOC;SG	pôłnim
Inflect górzësti | ADJ;NOM(MASC,SG)	górzësti
Inflect spiewac | V;IMP;PFV	spiewac
Inflect dzyczi | N;INST;SG;F	dzurką
Inflect Tettigonia | N;NOM(SG)	Tettigonia
Inflect wspóminka | N;NOM(MASC,SG)	wspòmink
Inflect strzébrzny | ADJ;NOM(MASC,SG)	strzébrzny
Inflect doł | N;GEN(SG)	dołu
Inflect mònitoring | N;ACC(SG)	mónitoringã
Inflect metrë | N;GEN(SG)	metra
Inflect znija | V;NFIN	znija
Inflect Trzeba | ADJ;FE;NOM(SG)	Trzeba
Inflect akcepta | N;ACC(SG)	akceptã
Inflect góra | N;NOM(PL)	góry
Inflect góra | N;DAT(SG)	górze
Inflect wësadzëc | V;NFIN	wësôdanié
Inflect Kaszëbizna | N;NOM(SG)	Kaszëbizna
Inflect Kaszëbizna | N;ACC(SG)	Kaszëbiznã
Inflect Kaszëbizna | N;GEN(SG)	Kaszëbiznë
Inflect Kaszëbizna | N;ACC(SG)	Kaszëbizną
Inflect Gòłąbk | N;GEN(FEM,SG)	Gòłąbka
Inflect Słuńce | N;ACC(SG)	Słuńca
Inflect Słuńce | N;DAT(SG)	Słuńcowi
Inflect stôri | ADJ;NOM(FEM,SG)	Stôrô
Inflect gduński | ADJ;GEN(MASC,PL)	gduńsczich
Inflect fizyka | N;GEN(SG)	fizyki
Inflect Coimbra | N;LOC;SG	Coimbrze
Inflect Kamél | ADJ;NOM(MASC,SG)	Kamél
Inflect Gąsewnica | N;NOM(FEM,SG)	Gąsewnica
Inflect Pùck | N;GEN(FEM,SG)	Pucka
Inflect pòtoczno | ADJ;NOM(FEM,SG)	pòtoczno
Inflect penzjónat | N;FEM;PL;LOC	penzjónatama
Inflect emòcjonalnomiticzny | ADJ;M3;INS(SG)	emòcjonalnomiticznym
Inflect mur | N;INST;SG	murem
Inflect kalkùlator | N;NOM(SG)	kalkùlator
Inflect pamiãtnik | N;NOM(SG)	pamiãtnik
Inflect drëch | N;NOM(MASC,SG)	drëch
Inflect drëch | N;INS(PL)	drëchama
Inflect nôstarszi | ADJ;ACC(FEM,SG)	nôstarszą
Inflect zatôrczënk | N;GEN(SG)	zatôrczënkù
Inflect Nùdlë | N;LOC;PL	Nudlóm
Inflect starka | N;NOM(PL)	starkòwie
Inflect dzëdzół | N;NOM(SG)	dzëdzół
Inflect Marek | N;MAL;SG	Marek
Inflect Pòle | N;VOC(SG)	Polo
Inflect strzédnowieczny | ADJ;GEN(MASC,PL)	strzédnowiecznëch
Inflect Bòcón | N;NOM(MASC,SG)	Bòcón
Inflect elektricznosc | N;GEN(SG)	elektricznoscë
Inflect Ùnieszënka | N;GEN(SG)	Ùnieszynczi
Inflect zapadnica | N;NOM(SG,MASC)	zapadniãcu
Inflect òkrãżëc | V;PRS;3;PL	òkrążą
Inflect mòżnowładzca | N;DAT(PL)	mòżnowładcóm
Inflect miónkôrz | N;NOM(SG)	miónkôrz
Inflect miónkôrz | N;NOM(MASC,PL)	miónkôrzy
Inflect miónkôrz | N;INS(SG,MASC)	miónkôrzã
Inflect bòsczi | ADJ;GEN(MASC,SG)	bòsczégò
Inflect Bóg | N;GEN(MASC,SG)	Bòżégòżebë
Inflect Bóg | N;ACC(MASC,SG)	Bóga
Inflect skùtkòwno | ADV	skùtkòwno
Inflect wieszczówka | N;DAT(PL)	wieszczówkóm
Inflect LewKiedrowska | N;NOM(FEM,SG)	LewKiedrowska
Inflect Saponaria | N;NOM(SG)	Saponaria
Inflect przëcygnąc | V;V;PTCP;NEUT;NFIN	przëcygniãcé
Inflect ofiara | N;ACC(SG)	ofiarã
Inflect Pòczątek | N;NOM(PL)	Pòczątczi
Inflect familia | N;NOM(SG)	familia
Inflect familia | N;FUT;DAT(PL)	familiach
Inflect familia | N;F;NOM(SG)	familie
Inflect krëchi | ADJ;NOM(MASC,SG)	krëchi
Inflect papjéżëna | N;ABL(FEM,SG)	papieżënë
Inflect Rudolf | N;ACC(SG)	Rudolfa
Inflect płachczka | N;INS(PL)	plachckama
Inflect zapłacëc | V;INF	zapłacëc
Inflect Magnez | N;NOM(SG)	Magnez
Inflect Bóg | ADJ;VOC(SG,MASC)	Bòżé
Inflect nôùka | N;F,P;GEN(PL)	nôùków
Inflect Przegroda | N;NOM(PL)	Przegrodë
Inflect rëchtowanié | V;GER;DAT(SG)	rëchtowanim
Inflect platynowy | ADJ;GEN(MASC,SG)	platynowégò
Inflect Krzëszlôk | N;NOM(SG)	Krzëszlôk
Inflect samnica | N;NOM(SG)	samnica
Inflect Kamianô | ADJ;NOM(FEM,SG)	Kamiané
Inflect Spòdlëczny | ADJ;NOM(MASC,SG)	Spòdlëczny
Inflect przitka | N;ACC(SG)	przitczé
Inflect mòcno | ADV	mòcno
Inflect Lodofôłt | N;NOM(SG)	Lodofôłt
Inflect ùkrziżowanié | N;LOC;SG	ùkrziżowanim
Inflect Stanford | N;GEN(MASC,SG)	Stanforda
Inflect zëma | N;ACC(SG)	zëmą
Inflect ekonomiczny | ADJ;MASC;SG;LOC	ekonomicznym
Inflect ekonomiczny | ADJ;ACC(FEM,SG)	ekonomiczną
Inflect faktùra | N;NOM(SG)	faktura
Inflect pôłniowòpòrénkòwi | ADJ;INS(MASC,SG)	pôłniowòpòrénkòwim
Inflect Tuszkòwskô | ADJ;NOM(FEM,SG)	Tuszkòwskô
Inflect Arizona | N;NOM(SG)	Arizona
Inflect Arizona | N;LOC;SG	Arizonie
Inflect Òlëwa | N;VOC(SG)	Òlëwie
Inflect pòlo | N;NOM(SG,NEUT)	pòlo
Inflect Mickewicz | N;GEN(PL)	Mickewiczów
Inflect Rakiétka | N;NOM(SG,FEM)	Rakiétka
Inflect Mastalerz | N;NOM(MASC,SG)	Mastalerz
Inflect stoła | N;ACC(SG)	Stołã
Inflect point | N;NOM(SG)	Point
Inflect atomòwi | ADJ;NOM(FEM,SG)	atomòwô
Inflect mùl | N;GEN(PL)	mùłów
Inflect wësokji | ADJ;NOM(FEM,SG)	wësokô
Inflect jigrzëska | N;LOC;PL	jigrzëskach
Inflect jigrzëska | N;GEN(PL)	jigrzësków
Inflect szabla | N;NOM(SG)	szabla
Inflect szabla | N;ACC(SG)	szablã
Inflect szabla | N;DAT(FEM,SG)	szablé
Inflect niebezpieczny | ADJ;NOM(MASC,SG)	niebezpieczno
Inflect niebezpieczny | ADJ;NOM(MASC,SG)	niebezpieczny
Inflect niebezpieczny | ADJ;NOM(FEM,SG)	niebezpiecznô
Inflect mieszkaniec | N;GEN(PL)	mieszkańców
Inflect òbszarë | N;NOM(PL)	òbszarë
Inflect grenlandzczi | ADJ;DAT(MASC,PL)	grenlandzczich
Inflect wpłiw | N;ACC(SG)	wpłiwã
Inflect rëwalizowac | V;INF	rëwalizowac
Inflect pastórz | N;NOM(SG)	pasturz
Inflect kam | N;NOM(FEM,SG)	kamnô
Inflect pòrénk | N;NOM(SG)	pòrénk
Inflect pòrénk | N;GEN(SG)	pòrénkù
Inflect Rodzaj | N;NOM(SG)	Rodzaj
Inflect wëdôwizna | N;NOM(SG)	wëdôwizna
Inflect konflikt | N;NOM(MASC,SG)	konflikt
Inflect bùdowa | N;LOC;SG	bùdowie
Inflect dzelo | N;GEN(SG)	dzeła
Inflect żôłniérz | N;DAT(SG)	żôłniérzã
Inflect żôłniérz | N;PL	żôłniérzë
Inflect istnienie | N;GEN(SG)	istnienia
Inflect miemieckù | ADJ;ACC(FEM,SG)	miemieckù
Inflect ògardzë | V;NFIN	ògardze
Inflect wëmrzenié | N;GEN(SG)	wëmrzeniô
Inflect stalëc | N;DAT(SG)	stalacu
Inflect stalëc | V;NFIN	stalacym
Inflect diecezjô | N;F;NOM(SG)	diecezjô
Inflect niedrig | ADJ;M;NOM(SG)	niedrëch
Inflect sfera | N;LOC;SG	sferze
Inflect sfera | N;NOM(PL)	sferë
Inflect sfera | N;INS(SG)	sferą
Inflect Sobaeksan | N;ACC(SG)	Sobaeksan
Inflect kùgla | N;NOM(PL)	kùgli
Inflect gònizna | N;NOM(FEM,SG)	gònizna
Inflect słëszec | V;CVB;PRS;ACT	słëszącë
Inflect òrginalnô | ADJ;F;ACC(SG)	òrginalnu
Inflect Biôdôk | N;ACC(SG)	Biôdôkã
Inflect mërta | N;F;NOM(SG)	mërta
Inflect refren | N;ACC(SG)	refrenã
Inflect refren | N;ACC(PL)	refrenë
Inflect tak | ADJ;NOM(FEM,SG)	takô
Inflect osobliwość | N;LOC;PL	osobliwościach
Inflect pamiãc | N;GEN(SG)	pamiãcë
Inflect pamiãc | N;ACC(SG)	pamiãcą
Inflect kòmbìnacjô | N;NOM(SG)	kombinacjô
Inflect blisko | ADV	blisko
Inflect Piotr | N;GEN(MASC,SG)	Piotra
Inflect Farwnosc | N;NOM(FEM,SG)	Farwnosc
Inflect òwòc | N;GEN(PL)	òwòców
Inflect Celuloid | N;GEN(SG)	Celuloidu
Inflect tłësti | ADJ;NOM(MASC,SG)	tłësti
Inflect ptôch | N;MASC;SG	ptôch
Inflect ptôch | N;GEN(SG)	ptôcha
Inflect ptôch | N;LOC;PL	ptôchach
Inflect ptôch | N;INS(PL)	ptôchama
Inflect ptôch | N;VOC(PL)	ptôche
Inflect ptôch | N;NOM(PL)	ptôchë
Inflect ptôch | N;GEN(PL)	ptôchów
Inflect gród | N;NOM(SG)	Grôd
Inflect mònéta | N;NOM(PL)	mònétë
Inflect młodzéż | N;VOC(FEM,SG)	młodzéżô
Inflect tłokowò | ADJ;VOC(MASC,SG)	tłokòwe
Inflect wilczë | ADJ;NOM(FEM,SG)	wilczô
Inflect pòklôsztorny | ADJ;INS(MASC,SG)	pòklôsztornym
Inflect Miemiec | N;NOM(PL)	Miemcë
Inflect morfologia | N;GEN(PL)	Tërków
Inflect Gòspòdëniô | N;GEN(PL)	Gòspòdëniów
Inflect miotła | N;NOM(SG,FEM)	Miotła
Inflect Folwark | N;M3;NOM(SG)	Folwark
Inflect Kongres | N;ACC(SG)	Kongresu
Inflect sztôtek | N;VOC(SG)	sztôtuje
Inflect Rhoda | N;NOM(SG,FEM)	Rhoda
Inflect Artur | N;GEN(SG)	Artusa
Inflect Miemca | N;LOC;PL	Miemcach
Inflect krëjamny | ADJ;INS(MASC,SG)	krëjamnym
Inflect tacewny | ADJ;INS(MASC,SG)	tacewnym
Inflect liryka | N;NOM(SG)	Liryka
Inflect krëkowatëch | ADJ;DAT(PL,MASC,ANIM)	krëkowatëch
Inflect Włocławek | N;LOC;SG	Włocławku
Inflect wkłôdanié | N;LOC;SG;NEUT	wkłôdaniu
Inflect òbsôdzac | V;INF	òbsôdzac
Inflect patrioticzny | ADJ;NOM(FEM,SG)	patrioticzné
Inflect patrioticzny | ADJ;GEN(MASC,PL)	patrioticznëch
Inflect ôrtną | V;NFIN	ôrtną
Inflect aerodynamika | N;NOM(FEM,SG)	aerodyna
Inflect Ukrajina | N;LOC;SG;FEM	Ùkrajinie
Inflect czerwonô | ADJ;NOM(FEM,SG)	czerwonô
Inflect Sychta | N;NOM(PL)	Sychty
Inflect zëmòwi | ADJ;INS(MASC,SG)	zëmòwim
Inflect apòkrifa | N;NOM(PL)	apòkrifë
Inflect akcja | N;NOM(PL)	akcje
Inflect akcja | N;ACC(SG)	akcjã
Inflect turista | N;GEN(MASC,PL)	turistów
Inflect nôczãsto | ADV	nôczãsto
Inflect protokół | N;LOC;SG	protokole
Inflect protokół | N;GEN(PL)	protokòłów
Inflect mòrzé | N;VOC(SG)	mòrzé
Inflect pãcherza | N;GEN(SG)	pãcherziczi
Inflect antologijô | N;NOM(SG)	antologijô
Inflect pószëkùm | N;DAT(PL)	pószëkù
Inflect grëp | N;NOM(PL)	grëpë
Inflect zunifikòwóné | V;PPAS;NEUT;SG	zunifikòwóné
Inflect niesmiertelnik | N;NOM(SG)	niesmiertelnik
Inflect Dzëwô | ADJ;NOM(FEM,SG)	Dzëwô
Inflect snôżota | N;ACC(FEM,SG)	snôżosc
Inflect snôżota | N;INST;SG	snôżotã
Inflect snôżota | N;FEM;PL	snôżotë
Inflect białk | N;GEN(PL)	białków
Inflect zòrganizowac | V;VFIN;INF	zòrganizowac
Inflect zòrganizowac | V;INF	zòrganizérowac
Inflect ògłôszac | V;PST;3;PL	ògłôszelë
Inflect kaszëbsczi | ADJ;INS(MASC,SG)	kaszebszczim
Inflect corôz | ADV	corôz
Inflect Pòłabsczi | ADJ;NOM(MASC,SG)	Pòłabsczi
Inflect grób | N;GEN(PL)	grobów
Inflect grób | N;GEN(PL)	grobówc
Inflect grób | N;GEN(SG)	grobù
Inflect białô | ADJ;ACC(FEM,SG)	biôłą
Inflect dzec | N;DAT(PL)	dzecòm
Inflect pasja | N;GEN(PL)	pasjów
Inflect zrzesznica | N;F;NOM(SG)	zrzesznica
Inflect Grónowsczi | ADJ;NOM(MASC,SG)	Grónowsczi
Inflect wëznaczony | ADJ;MASC;INST;SG	wëznaczonym
Inflect kultura | N;GEN(SG)	kultury
Inflect kultura | N;INST;SG	kulturą
Inflect vzsmrȯčnô | ADJ;ACC(FEM,SG)	smroczno
Inflect Zakopane | N;F;NOM(SG)	Zakopane
Inflect Zakopane | N;LOC;SG	Zakopanem
Inflect walezc | V;NFIN;INF	wëlezc
Inflect dama | N;DAT(FEM,SG)	Damme
Inflect kòrejańsczi | ADJ;ACC(MASC,SG)	kòrejańsczé
Inflect naùczëc | V;INF	naùczëc
Inflect Sobòta | N;NOM(PL)	Sobòtë
Inflect nóty | N;GEN(PL)	nótów
Inflect Kalisz | N;LOC;SG	Kaliszu
Inflect Izraél | N;NOM(SG)	Izraél
Inflect ùzdólniac | V;IRREG;NFIN;PRF	ùzdolnienia
Inflect przedslédny | ADJ;NOM(PL,MASC)	przedslédné
Inflect strôszëc | V;INF	strôszëc
Inflect deser | N;GEN(PL)	deserów
Inflect słowò | N;NOM(PL)	słowë
Inflect słowò | N;ABL(FEM,SG)	słowò
Inflect jesén | N;GEN(SG)	jeséni
Inflect jesén | N;INS(SG)	jesénią
Inflect grańca | N;ACC(SG)	grańcą
Inflect drózdowaty | ADJ;DAT(MASC,PL)	drózdowatëch
Inflect równia | N;F;ACC(SG)	równią
Inflect òstróga | N;LOC;PL	òstrowach
Inflect Òjcowsczi | ADJ;INS(SG,MASC)	Òjcowsczim
Inflect gwar | N;GEN(FEM,SG)	gwarë
Inflect brëkwóné | ADJ;DAT(FEM,PL)	brëkwóné
Inflect zwón | N;NOM(PL)	zwóny
Inflect zwón | N;INS(SG)	zwónym
Inflect zwón | N;NOM(PL)	zwónë
Inflect zwón | N;GEN(PL)	zwónëch
Inflect zwón | N;F;NOM(SG)	zwónô
Inflect zwón | N;INS(SG)	zwônym
Inflect Pòmòreńcowie | N;NOM(MASC,PL)	Pòmòreńcowie
Inflect pòdajny | ADJ;NOM(MASC,SG)	pòdajny
Inflect Tupadło | N;LOC;SG	Tupadły
Inflect Chorenza | N;NOM(FEM,SG)	Charenza
Inflect Simón | N;NOM(MASC,SG)	Simón
Inflect astrónoma | N;ACC(FEM,SG)	astronomã
Inflect Słowò | N;ACC(SG)	Słowã
Inflect Słowò | N;NOM(SG,NEUT)	Słowò
Inflect Warmia | N;GEN(SG)	Warmii
Inflect kònspiracja | N;GEN(SG)	kònspiracji
Inflect brac | N;GEN(SG)	brata
Inflect dali | ADV	dalej
Inflect rok | N;GEN(PL)	rokǜ
Inflect teren | N;GEN(SG)	terenu
Inflect teren | N;GEN(PL)	terenów
Inflect prawa | ADJ;NOM(FEM,SG)	prawnô
Inflect Swiãti | ADJ;NOM(MASC,SG)	Swiãti
Inflect rosëna | N;NOM(FEM,SG)	rosëna
Inflect brzod | N;GEN(PL)	brzadów
Inflect Novoselic | N;GEN(SG)	Novoselic
Inflect sąsiedni | ADJ;MDR;INS(SG)	sąsednim
Inflect swiãtë | N;LOC;PL	swiãtëch
Inflect kòrzësc | N;DAT(SG)	kòrzëscë
Inflect prorok | N;GEN(SG)	proroka
Inflect brat | N;NOM(PL)	bracia
Inflect rugby | N;NOM(SG)	rugby
Inflect trzóda | N;NOM(SG)	trzóda
Inflect jednak | ADV	jednak
Inflect greńca | N;ACC(SG)	greńcã
Inflect greńca | N;GEN(SG)	greńcë
Inflect dwùpiennô | ADJ;NOM(FEM,SG)	dwùpiennô
Inflect pneumaticzny | ADJ;NOM(FEM,SG)	pneumaticznô
Inflect alkòhòl | N;GEN(SG)	alkòhòlu
Inflect cerkiew | N;GEN(SG)	cerkwi
Inflect cerkiew | N;NOM(PL)	cerkwie
Inflect zbùdowóny | ADJ;NOM(FEM,SG)	zbùdowónô
Inflect cwiardi | ADJ;NOM(MASC,SG)	cwiardi
Inflect nieprządka | N;GEN(PL)	nieprządk
Inflect religijô | N;GEN(PL)	religijów
Inflect sãmò | ADJ;GEN(MASC,SG)	sómégò
Inflect rozmajitic | V;NFIN	rozmajiti
Inflect sąsedny | ADJ;GEN(MASC,SG)	sąsednégò
Inflect òchrona | N;NOM(SG)	òchrona
Inflect òchrona | N;LOC;SG;FEM	òchronie
Inflect pògańskji | ADJ;GEN(MASC,PL)	pogańsczich
Inflect brilant | N;GEN(PL)	brilantów
Inflect padalec | N;NOM(SG,MASC)	padalc
Inflect wëbrelë | V;PRF;3;PL	wëbrelë
Inflect registr | N;GEN(PL,MASC)	registrów
Inflect minystra | N;ACC(SG)	minystra
Inflect Niewybuch | N;NOM(PL)	czarownice
Inflect szafa | N;GEN(SG)	szafë
Inflect Sartawica | N;NOM(PL)	Sartawice
Inflect recepta | N;ACC(SG)	receptë
Inflect zrzeszenié | N;GEN(SG)	Zrzeszeniô
Inflect perłowi | ADJ;MASC;PRED;SG	perłowatégò
Inflect ekwiwaleńt | N;INST;PL	ekwiwaleńtama
Inflect zómk | N;NOM(SG)	zómk
Inflect zómk | N;GEN(SG)	zómkù
Inflect wentil | N;NOM(SG)	wentil
Inflect pùchacz | N;NOM(PL)	pùchacze
Inflect zbòże | N;GEN(PL)	zbòżów
Inflect drzéwiónko | N;INST;PL	drzéwiãtama
Inflect hańdlowi | ADJ;ACC(FEM,SG)	hańdlową
Inflect dùgòsc | N;F;GEN(SG)	dùgòscë
Inflect Lëteracczi | ADJ;GEN(FEM,SG)	Lëteracczi
Inflect Kónwencjô | N;F;GEN(SG)	Kónwencji
Inflect propaganda | N;DAT(SG)	propagandze
Inflect Néwa | N;ACC(SG)	Newadą
Inflect prorektorã | N;ACC(SG)	prorektorã
Inflect wespółczasno | ADV	wespółczasno
Inflect brzad | N;ACC(MASC,SG)	brzadu
Inflect pòsobnô | ADJ;NOM(NEUT,SG)	pòsobné
Inflect harmònijny | ADJ;ACC(FEM,SG)	harmònijné
Inflect Karël | N;GEN(MASC,PL)	Karlowych
Inflect szpital | N;M3;NOM(SG)	Hospital
Inflect skroda | N;GEN(PL)	skrodz
Inflect wiãkszość | N;GEN(SG)	wiãkszoscy
Inflect Mòkrë | ADJ;NOM(PL,MASC,INAN)	Mòkri
Inflect Mòkrë | ADJ;NOM;VOC(PL,MASC)	Mòkré
Inflect mur | N;GEN(PL)	murów
Inflect Ùstawodôwca | N;NOM(FEM,SG)	Ùstawodôwcza
Inflect rozwiać | V;IND;PST;NFIN	rozwiajało
Inflect przekaz | N;GEN(PL)	przekazów
Inflect dynastëja | N;FEM;LOC;SG	dynastëji
Inflect Eucharistia | N;ACC(SG,FEM)	Eucharistią
Inflect scelëna | V;NFIN	scëlac
Inflect Spôdkòwiznë | N;GEN(SG)	Spôdkòwiznë
Inflect stążka | N;NOM(SG)	stóżka
Inflect kilogram | N;GEN(SG,FEM)	kilograma
Inflect Rubinstein | N;NOM(SG)	Rubinstein
Inflect zorta | N;GEN(PL)	zortów
Inflect bagnach | N;LOC;PL	bagnach
Inflect sãdzëc | V;IMP;2;SG	sedzi
Inflect ògònk | N;GEN(PL)	ògònkow
Inflect galerija | N;LOC;PL	galerijach
Inflect westrzédny | ADJ;INS(MASC,SG)	westrzédnym
Inflect westrzédny | ADJ;DAT(MASC,PL)	westrzédnëch
Inflect brómka | N;NOM(SG)	brómka
Inflect brómka | N;ACC(SG,FEM)	brómkã
Inflect leżec | V;NFIN	leże
Inflect zwëk | N;LOC;PL	zwëkach
Inflect zwëk | N;INST;SG	zwëkiem
Inflect zwëk | N;GEN(PL)	zwëkow
Inflect zwëk | N;GEN(SG)	zwëku
Inflect zwëk | N;INST;SG	zwëkã
Inflect wspòmòc | V;INF	wspòmòc
Inflect gazela | N;NOM(SG)	Gazela
Inflect Piwa | N;GEN(FEM,SG)	Piwa
Inflect Gduńsk | ADJ;INS(MASC,SG)	Gduńsczim
Inflect Gduńsk | ADJ;GEN(MASC,SG)	Gduńsczégò
Inflect Gduńsk | N;NOM(MASC,SG)	Gduńsk
Inflect Gduńsk | N;GEN(SG,MASC)	Gduńska
Inflect Gduńsk | N;LOC;SG	Gduńsku
Inflect kanał | N;NOM(SG)	kanał
Inflect kanał | N;ACC(SG)	kanału
Inflect bitwac | N;GEN(SG)	bitwë
Inflect wòdny | ADJ;NOM(MASC,SG)	wòdni
Inflect wòdny | ADJ;NOM(MASC,SG)	wòdny
Inflect wòdny | ADJ;GEN(PL,MASC,ANIM)	wòdnëch
Inflect wòdny | ADJ;NOM(FEM,SG)	wòdnô
Inflect pomału | ADV	pomału
Inflect cwëk | N;NOM(SG)	cwëk
Inflect czôs | N;NOM(PL)	Czasy
Inflect Bërczk | N;DAT(PL)	Bërczk
Inflect przyjënk | V;NFIN	przëjąc
Inflect nawrócenié | N;NOM(SG)	Nawrócenié
Inflect Lëch | N;NOM(MASC,SG)	Lëchim
Inflect tidzeństwò | N;LOC;PL	tidzeniach
Inflect sowiecki | ADJ;GEN(MASC,PL)	sowiecczich
Inflect nôdgroda | N;GEN(FEM,SG)	nôdgród
Inflect Kòszëla | N;NOM(SG)	Kòszëla
Inflect zjestk | N;GEN(SG)	zjestkù
Inflect chléb | ADJ;INS(MASC,SG)	chlébòwim
Inflect elekcjô | N;NOM(SG)	elekcёjô
Inflect peperlek | N;GEN(PL)	peperlëszków
Inflect szpiek | N;NOM(SG)	szpiek
Inflect fónkcjô | N;ACC(SG)	fónkcjã
Inflect fónkcjô | N;GEN(PL)	fónkcjôw
Inflect robic | V;NF;PTCP;NFIN	robieniô
Inflect robic | V;PST;3;PL	robile
Inflect zarost | N;LOC;PL	zarostach
Inflect informacja | N;GEN(PL)	informacjów
Inflect przewòdzić | V;IMP;2;SG	przewòdze
Inflect diôbli | N;NOM(PL)	Diôbli
Inflect swinia | N;ACC(PL)	Swiny
Inflect robotnic | N;DAT(FEM,PL)	robotnic
Inflect Mòskwa | N;GEN(SG)	Mòskwë
Inflect blaszk | N;ACC(SG)	blaszkã
Inflect blaszk | N;GEN(FEM,PL)	blaszków
Inflect Dalkòwsczi | N;DAT(PL)	Dalkòwsczima
Inflect cesarz | N;GEN(SG)	cesarza
Inflect Mòkszón | N;GEN(PL)	Mòkszónów
Inflect państwòwy | ADJ;NOM(MASC,SG)	państwòwy
Inflect zdrëszëna | N;NOM(FEM,SG)	zdrëszëna
Inflect Cézanne | N;NOM(SG)	Cézanne
Inflect szlach | N;GEN(SG)	szlachu
Inflect artista | N;F;NOM(SG)	artista
Inflect sparłączënié | V;NFIN;VNN	sparłączënié
Inflect szérzawa | N;FEM;LOC;SG	szérzawë
Inflect żëcë | N;DAT(SG)	żëcy
Inflect rozegróny | ADJ;NOM(MASC,SG)	rozegróny
Inflect generalno | ADV	generalno
Inflect radiô | N;DAT(SG)	radiu
Inflect òkrągły | ADJ;NOM(MASC,SG)	òkrągły
Inflect rozyna | N;F;INS(PL)	rozynama
Inflect pòzwëc | V;INF	pòzwanié
Inflect pòpùlarny | ADJ;ACC(MASC,SG)	pòpùlarnégò
Inflect pòpùlarny | ADJ;NOM(FEM,SG)	pòpùlarnô
Inflect Dobieszowice | N;LOC;PL	Dobieszowicach
Inflect òptica | ADJ;GEN(PL)	òpticznëch
Inflect wipłiwac | V;3;SG;FUT	wipłiwô
Inflect Labùdda | N;F;NOM(SG)	Labùdda
Inflect centrum | N;NOM(SG,NEUT)	centrum
Inflect centrum | N;ACC(SG)	centróm
Inflect Pòbłocé | N;GEN(SG)	Pòbłocégò
Inflect antyłopa | N;GEN(PL,MASC)	antilopów
Inflect Wëstãpùjąc | V;NFIN;PRS;IMPF	Wëstãpùjąc
Inflect Kraina | N;NOM(SG)	Kraina
Inflect majątk | N;DAT(SG)	majątkù
Inflect Méstrów | N;GEN(PL)	Méstrów
Inflect Skòwrónk | N;NOM(SG)	Skòwrónk
Inflect pobożny | ADJ;NOM(PL,MASC)	pobożni
Inflect Dober | ADJ;NOM(MASC,SG)	Dober
Inflect statk | N;NOM(SG)	statk
Inflect statk | N;ACC(SG)	statkã
Inflect Anita | N;ACC(SG,FEM)	Anitę
Inflect miôstk | N;LOC;PL	miéwstwach
Inflect kwas | N;NOM(MASC,SG)	kwas
Inflect kategoria | N;GEN(SG)	kategorii
Inflect szwedzczi | ADJ;GEN(MASC,SG)	szwédzczégò
Inflect Krëk | N;NOM(PL)	Krëczczi
Inflect pamiãc | N;ACC(FEM,SG)	Pamiãc
Inflect pòchòdzenié | N;GEN(SG)	pòchodzeniô
Inflect pòchòdzenié | N;INS(SG)	pòchòdzenim
Inflect pòchòdzenié | N;NOM(SG)	pòchòdzenié
Inflect pòchòdzenié | N;INS(SG)	pòchòdzeniém
Inflect pòchòdzenié | N;GEN(SG)	pòchòdzeniô
Inflect ciepłi | ADJ;NOM(MASC,PL)	cepłi
Inflect ògromny | ADJ;NOM(FEM,SG)	ògromna
Inflect ògromny | ADJ;NOM(FEM,SG)	ògromné
Inflect akacja | N;DAT(FEM,SG)	akacje
Inflect DĄBÒWI | ADJ;NOM(PL,MASC)	Dãbòwé
Inflect ùprawa | N;GEN(PL)	ùpraw
Inflect rewòlucjô | N;NOM(SG)	rewòlucjô
Inflect azymùt | N;GEN(SG)	azymùtu
Inflect pewien | ADJ;MASC;PRED;SG	pewien
Inflect piéck | N;NOM(SG)	piéck
Inflect piéck | N;ACC(SG)	piéckã
Inflect katédra | N;F;ACC(SG)	katédrą
Inflect drzéwca | N;ACC(SG)	drziwca
Inflect Ceszac | V;IMP;NEG;2	Ceszã
Inflect kòlonia | N;LOC;PL	kòloniach
Inflect jinwesticëjó | N;GEN(PL)	jinwesticëjów
Inflect kategòriô | N;NOM(PL)	kategòrie
Inflect lëdowi | ADJ;NOM(MASC,SG)	lëdowi
Inflect lëdowi | ADJ;MASC;INST;PL	lëdowima
